name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price,age,usage_intensity,brand
'Bajaj Pulsar 150',80000,2019,1,0,8000,72752.5,5,1600.0,3
'TVS Flame',15000,2010,1,0,12000,72752.5,14,857.1428571428571,15
'Vespa VX 125',45000,2013,1,1,50000,72303.0,11,4545.454545454545,17
'Yamaha SZ X',25000,2012,1,1,30000,65800.0,12,2500.0,18
'Honda CBF Stunner',35000,2013,1,0,15888,58757.0,11,1444.3636363636363,7
'Bajaj Discover 100 T',25000,2013,1,0,26000,47032.0,11,2363.6363636363635,3
'Honda Activa [2000-2015]',25000,2014,1,0,41000,50267.0,10,4100.0,7
'Royal Enfield Electra 5 S',60000,2007,1,1,19612,72752.5,17,1153.6470588235295,13
'Bajaj Pulsar 150',41000,2012,1,0,17000,72752.5,12,1416.6666666666667,3
'Honda Shine',35000,2012,1,0,33700,72752.5,12,2808.3333333333335,7
'Honda Activa 3G',47999,2016,1,0,6000,54605.0,8,750.0,7
'Honda Shine',36999,2011,1,0,21000,72752.5,13,1615.3846153846155,7
'Bajaj Pulsar 180',25000,2007,1,0,80000,85011.0,17,4705.882352941177,3
'Suzuki Gixxer SF',60000,2016,1,0,15000,72752.5,8,1875.0,14
'Honda CB Unicorn 150',50000,2007,1,0,46000,74295.0,17,2705.8823529411766,7
'TVS Sport',12000,2007,1,0,72000,72752.5,17,4235.294117647059,15
'Bajaj Pulsar AS200',60000,2015,1,0,50000,92074.0,9,5555.555555555556,3
'Honda Activa [2000-2015]',20000,2010,1,0,50000,50267.0,14,3571.4285714285716,7
'Yamaha FZ16',27000,2011,1,0,67000,78712.0,13,5153.846153846154,18
'Hero Honda Hunk',56000,2015,1,0,48000,72752.5,9,5333.333333333333,6
'Hero Honda Hunk',58000,2015,1,0,48000,72752.5,9,5333.333333333333,6
'Bajaj Avenger Cruise 220',87000,2018,1,0,8000,72752.5,6,1333.3333333333333,3
'Yamaha Ray Z',35000,2015,1,0,15500,52949.0,9,1722.2222222222222,18
'Bajaj Pulsar 180',35000,2012,1,0,45000,85011.0,12,3750.0,3
'Bajaj Discover 150F',40000,2014,1,1,60855,64071.0,10,6085.5,3
'Bajaj Pulsar 135 LS',56000,2017,1,2,37714,64589.0,7,5387.714285714285,3
'Bajaj Pulsar 180',30000,2008,1,1,60000,85011.0,16,3750.0,3
'Honda Activa 125 [2016-2017]',40000,2017,1,0,26000,61545.0,7,3714.285714285714,7
'Hero HF Deluxe',60000,2019,1,0,6000,72752.5,5,1200.0,6
'Hero Karizma 2014',40000,2013,1,0,30000,86744.0,11,2727.2727272727275,6
'Bajaj Platina 100',40000,2018,1,0,17000,72752.5,6,2833.3333333333335,3
'Bajaj Pulsar AS200',45000,2015,1,0,48000,92074.0,9,5333.333333333333,3
'Yamaha FZ S [2012-2016]',42000,2013,1,0,60000,79432.0,11,5454.545454545455,18
'Bajaj Pulsar 220 Fi',25000,2012,1,0,44000,72752.5,12,3666.6666666666665,3
'Bajaj Pulsar 150',15000,2006,1,0,55000,72752.5,18,3055.5555555555557,3
'Hero Passion X Pro [2016-2017]',38000,2016,1,1,20000,59095.0,8,2500.0,6
'Yamaha FZ S V 2.0',60000,2015,1,1,17500,84042.0,9,1944.4444444444443,18
'TVS Apache RTR 160',65000,2017,1,0,46000,72752.5,7,6571.428571428572,15
'Bajaj Avenger [2015]',35000,2011,1,0,30000,75502.0,13,2307.6923076923076,3
'Bajaj Pulsar 150',70000,2019,1,0,6500,72752.5,5,1300.0,3
'Hero Honda Glamour',15000,2006,1,0,80000,72752.5,18,4444.444444444444,6
'Hero Splendor iSmart',50000,2017,1,1,10000,52271.0,7,1428.5714285714287,6
'Yamaha FZ16',25000,2008,1,0,40000,78712.0,16,2500.0,18
'Hero Xtreme Sports',58000,2016,1,0,21000,80350.0,8,2625.0,6
'Royal Enfield Bullet 350 [2007-2011]',90000,2007,1,0,3500,72752.5,17,205.88235294117646,13
'Hero Honda Passion',9000,2002,1,1,66191,72752.5,22,3008.681818181818,6
'Bajaj Discover 150S',40000,2014,1,0,50000,63331.0,10,5000.0,3
'TVS Scooty Zest 110',28000,2015,1,0,32800,52372.0,9,3644.4444444444443,15
'Bajaj Avenger Street 150 [2018]',50000,2016,1,0,32000,80435.0,8,4000.0,3
'Yamaha Cygnus Ray ZR',56000,2019,1,0,3900,58630.0,5,780.0,18
'Honda Activa [2000-2015]',35000,2014,1,0,10000,50267.0,10,1000.0,7
'TVS Apache RTR 200 4V',95000,2018,1,0,9600,72752.5,6,1600.0,15
'Honda Shine',30000,2010,1,0,46782,72752.5,14,3341.5714285714284,7
'Honda CB Hornet 160R',95000,2019,1,0,8000,94703.0,5,1600.0,7
'Honda Activa i [2016-2017]',40000,2017,1,0,11000,53436.0,7,1571.4285714285713,7
'Hero Karizma 2014',30000,2014,1,1,51000,86744.0,10,5100.0,6
'Bajaj Discover 100 T',18000,2013,1,0,45000,47032.0,11,4090.909090909091,3
'Honda Aviator',14000,2008,1,0,66000,59183.0,16,4125.0,7
'Hero Splendor Plus',17000,2010,1,1,50000,72752.5,14,3571.4285714285716,6
'Royal Enfield Thunderbird 350',125000,2017,1,0,23500,72752.5,7,3357.1428571428573,13
'Bajaj CT 110',20000,2015,1,0,25000,72752.5,9,2777.777777777778,3
'Hero Passion PRO i3s',50000,2017,1,0,41000,56925.0,7,5857.142857142857,6
'Bajaj Pulsar 220F',70000,2018,1,0,33000,72752.5,6,5500.0,3
'Hero Maestro Edge',40000,2017,1,0,15000,55980.0,7,2142.8571428571427,6
'Bajaj Xcd',10000,2008,1,0,50000,72752.5,16,3125.0,3
'Bajaj Pulsar 150',35000,2010,1,0,40000,72752.5,14,2857.1428571428573,3
'TVS Centra',10000,2005,1,0,50000,72752.5,19,2631.5789473684213,15
'Honda Activa 3G',42000,2015,1,0,20000,54605.0,9,2222.222222222222,7
'Yamaha FZ16',20000,2009,1,0,50000,78712.0,15,3333.3333333333335,18
'Hero Super Splendor',50000,2016,1,0,20000,72752.5,8,2500.0,6
'TVS Scooty Pep Plus',30000,2011,1,0,20000,72752.5,13,1538.4615384615386,15
'Yamaha FZ V 2.0',60000,2014,1,0,41311,81508.0,10,4131.1,18
'Hero Honda Splendor Plus',15000,2005,1,0,65000,72752.5,19,3421.0526315789475,6
'Hero CD Deluxe',15000,2014,1,1,34000,72752.5,10,3400.0,6
'Hero Honda Passion PRO [2012]',25000,2011,1,0,20000,72752.5,13,1538.4615384615386,6
'Hero HF Deluxe i3s',54000,2019,1,0,11000,72752.5,5,2200.0,6
'Bajaj Xcd',25000,2007,1,0,75000,72752.5,17,4411.764705882353,3
'Bajaj Kristal',15000,2007,1,0,30000,72752.5,17,1764.7058823529412,3
'Hero Honda Splendor Plus',20000,2006,1,0,23000,72752.5,18,1277.7777777777778,6
'Honda Dream Yuga',35000,2014,1,0,10000,56147.0,10,1000.0,7
'Yamaha FZ S V 2.0',50000,2016,1,0,40000,87042.0,8,5000.0,18
'Bajaj V15',40000,2016,1,0,45000,67187.0,8,5625.0,3
'Bajaj Avenger Street 220',80000,2016,1,0,7200,95955.0,8,900.0,3
'Bajaj Discover 135',20000,2010,1,0,31195,72752.5,14,2228.214285714286,3
'Honda CB Unicorn 150',70000,2017,1,0,18000,74295.0,7,2571.4285714285716,7
'Vespa SXL 149',98000,2019,1,0,1000,72752.5,5,200.0,17
'Royal Enfield Machismo',75000,2008,1,1,17000,72752.5,16,1062.5,13
'Honda CB Shine SP',50000,2016,1,0,46000,67214.0,8,5750.0,7
'Honda CB Unicorn 150',75000,2013,1,0,54000,74295.0,11,4909.090909090909,7
'Honda CB Unicorn 150',50000,2013,1,0,17000,74295.0,11,1545.4545454545455,7
'Bajaj Pulsar 150',60000,2014,1,0,60000,72752.5,10,6000.0,3
'TVS Apache RTR 160',50000,2016,1,0,40000,72752.5,8,5000.0,15
'Honda Dio',35000,2014,1,0,25000,72752.5,10,2500.0,7
'Hero Maestro',25000,2015,1,1,40000,49412.0,9,4444.444444444444,6
'Hero Honda CBZ extreme',42000,2010,1,0,51000,72752.5,14,3642.8571428571427,6
'Honda Activa 125',40000,2014,1,0,14965,72752.5,10,1496.5,7
'TVS Apache RTR 200 4V',85000,2018,1,0,10000,72752.5,6,1666.6666666666667,15
'TVS Wego',45000,2018,1,0,10000,54760.0,6,1666.6666666666667,15
'Bajaj Pulsar NS200',85000,2018,1,0,7750,72752.5,6,1291.6666666666667,3
'Royal Enfield Thunderbird 350',100000,2015,1,0,30000,72752.5,9,3333.3333333333335,13
'Royal Enfield Classic 350',95000,2015,1,0,9800,72752.5,9,1088.888888888889,13
'Honda CB Shine SP',48000,2015,1,0,25000,67469.0,9,2777.777777777778,7
'Bajaj Avenger Street 150 [2018]',40000,2016,1,0,29689,80435.0,8,3711.125,3
'Honda CBF Stunner',37000,2014,1,0,43000,58757.0,10,4300.0,7
'Bajaj Avenger [2015]',38000,2014,1,1,28243,75502.0,10,2824.3,3
'Suzuki Gixxer [2014-2018]',55000,2015,1,0,25000,78316.0,9,2777.777777777778,14
'Suzuki Access 125',45000,2017,1,0,22300,72752.5,7,3185.714285714286,14
'TVS Scooty Streak',18000,2009,1,1,33595,44140.0,15,2239.6666666666665,15
'Hero Honda Splendor Plus',15000,2007,1,0,30000,72752.5,17,1764.7058823529412,6
'Bajaj Pulsar 125',65000,2019,1,0,16000,72752.5,5,3200.0,3
'Honda Activa 5G',42000,2018,1,0,22000,57557.0,6,3666.6666666666665,7
'Yamaha Fazer Dlx',58000,2012,1,0,40000,72752.5,12,3333.3333333333335,18
'Hero Xtreme 2014',35000,2013,1,0,15000,72973.0,11,1363.6363636363637,6
'Hero Honda Hunk',28000,2009,1,0,40000,72752.5,15,2666.6666666666665,6
'Royal Enfield Classic 350',125000,2017,1,0,33900,72752.5,7,4842.857142857143,13
'Bajaj Pulsar 150 [2001-2011]',15000,2005,1,0,47670,72752.5,19,2508.9473684210525,3
'Honda Activa [2000-2015]',29500,2013,1,0,45000,50267.0,11,4090.909090909091,7
'Hero Honda Splendor PRO',30000,2012,1,0,22866,72752.5,12,1905.5,6
'Bajaj Pulsar 220F',70000,2016,1,0,31000,72752.5,8,3875.0,3
'Yamaha Fascino 110',69000,2019,1,0,1600,57112.0,5,320.0,18
'Yamaha FZ16',30000,2011,1,0,44000,78712.0,13,3384.6153846153848,18
'Yamaha FZ16',30000,2010,1,0,70000,78712.0,14,5000.0,18
'TVS Star City Plus',42000,2017,1,0,21000,72752.5,7,3000.0,15
'Bajaj Pulsar 135 LS',20000,2010,1,0,80000,64589.0,14,5714.285714285715,3
'Suzuki Access 125',45000,2017,1,0,15000,72752.5,7,2142.8571428571427,14
'Bajaj Pulsar 135 LS',23000,2010,1,0,77000,64589.0,14,5500.0,3
'Hero Honda Splendor Plus',12000,2005,1,0,48000,72752.5,19,2526.315789473684,6
'Hero Passion PRO i3s',50000,2017,1,0,18000,56925.0,7,2571.4285714285716,6
'Honda Activa 5G',55000,2019,1,0,9000,59422.0,5,1800.0,7
'Yamaha Fascino 110',45000,2016,1,0,56000,54500.0,8,7000.0,18
'Hero Splendor Plus',25000,2012,1,0,50000,72752.5,12,4166.666666666667,6
'Royal Enfield Thunderbird 350',90000,2014,1,0,12000,72752.5,10,1200.0,13
'Yamaha YZF R15 V3',120000,2018,1,0,11500,72752.5,6,1916.6666666666667,18
'KTM RC 200',120000,2015,1,0,20000,72752.5,9,2222.222222222222,10
'TVS Radeon',35000,2017,1,0,20000,66492.0,7,2857.1428571428573,15
'Hero HF Deluxe',35000,2017,1,0,27000,72752.5,7,3857.1428571428573,6
'Royal Enfield Thunderbird 350',87000,2012,1,0,20477,72752.5,12,1706.4166666666667,13
'Hero Honda Splendor Plus',18000,2010,1,0,35700,72752.5,14,2550.0,6
'Yamaha FZ S V 2.0',50000,2014,1,0,70000,84042.0,10,7000.0,18
'Bajaj Avenger Street 220',60000,2016,1,0,29000,95955.0,8,3625.0,3
'Hero Honda Splendor Plus',15000,2004,1,0,14500,72752.5,20,725.0,6
'Bajaj Platina 100',30000,2018,1,0,37000,72752.5,6,6166.666666666667,3
'Honda CB Unicorn 150',50000,2016,1,0,27000,74295.0,8,3375.0,7
'Suzuki Gixxer [2014-2018]',62000,2017,1,0,15000,78316.0,7,2142.8571428571427,14
'Bajaj Platina 100',45000,2019,1,0,15000,72752.5,5,3000.0,3
'Royal Enfield Thunderbird 350',120000,2017,1,0,4050,72752.5,7,578.5714285714286,13
'Bajaj Pulsar AS150',50000,2015,1,0,5000,80821.0,9,555.5555555555555,3
'Bajaj Pulsar 150',30000,2012,1,1,5000,72752.5,12,416.6666666666667,3
'Hero Pleasure',40000,2014,1,0,14000,51600.0,10,1400.0,6
'Honda Aviator',41000,2013,1,0,36500,63537.0,11,3318.181818181818,7
'Royal Enfield Thunderbird 350',120000,2017,1,1,9000,72752.5,7,1285.7142857142858,13
'Hero Ignitor',35000,2014,1,0,33200,67722.0,10,3320.0,6
'TVS Apache RTR 160',35000,2011,1,0,25000,72752.5,13,1923.076923076923,15
'Hero Achiever 150',38000,2017,1,0,26000,69750.0,7,3714.285714285714,6
'Vespa LX 125',50000,2015,1,0,3909,77900.0,9,434.3333333333333,17
'Honda Activa 3G',40000,2015,1,0,7672,54605.0,9,852.4444444444445,7
'Hero Splendor Plus i3s',70000,2019,1,0,3000,55600.0,5,600.0,6
'Hero Maestro',26500,2016,1,1,40000,53830.0,8,5000.0,6
'Hero Glamour 125',38000,2016,0,0,5500,61600.0,8,687.5,6
'Yamaha FZ16',60000,2016,1,0,29950,78712.0,8,3743.75,18
'Yamaha FZ S V 2.0',78000,2017,1,0,26100,84480.0,7,3728.5714285714284,18
'Hero Maestro Edge',58000,2018,1,0,6000,54580.0,6,1000.0,6
'Bajaj Pulsar 180',32000,2012,1,0,40000,85011.0,12,3333.3333333333335,3
'Bajaj Pulsar 180',50000,2017,1,0,20500,85011.0,7,2928.5714285714284,3
'KTM 200 Duke',120000,2017,1,0,4100,72752.5,7,585.7142857142857,10
'Bajaj Avenger Street 150 [2018]',60000,2016,1,1,23097,80435.0,8,2887.125,3
'Bajaj Discover 100 M',20000,2011,1,0,37734,44756.0,13,2902.6153846153848,3
'Royal Enfield Bullet 350 [2007-2011]',65000,2011,1,1,65000,72752.5,13,5000.0,13
'Yamaha FZ V 2.0',35000,2014,1,0,13500,81508.0,10,1350.0,18
'Bajaj Avenger Street 220',95000,2018,1,0,23000,95955.0,6,3833.3333333333335,3
'Bajaj Pulsar 150',8000,2005,1,0,58000,72752.5,19,3052.6315789473683,3
'Royal Enfield Thunderbird 350',85000,2010,1,0,15000,72752.5,14,1071.4285714285713,13
'Hero Achiever 150',65000,2016,1,0,29000,69750.0,8,3625.0,6
'Hero Passion Pro 110',39000,2013,1,0,20000,72752.5,11,1818.1818181818182,6
'Hero Duet',45000,2017,1,0,35000,50280.0,7,5000.0,6
'Bajaj Avenger Street 150 [2018]',60000,2016,1,0,45137,80435.0,8,5642.125,3
'Bajaj Pulsar 150',35000,2011,1,0,35600,72752.5,13,2738.4615384615386,3
'Bajaj Pulsar 135 LS',40000,2018,1,0,15000,64589.0,6,2500.0,3
'Yamaha Fazer [2009-2016]',40000,2012,1,0,7353,84751.0,12,612.75,18
'Honda CB Hornet 160R',56000,2017,1,1,13200,87543.0,7,1885.7142857142858,7
'Honda CB Unicorn Dazzler',22000,2011,1,0,38350,71757.0,13,2950.0,7
'Yamaha YBR 125',36000,2014,1,0,20400,54593.0,10,2040.0,18
'Bajaj V15',42000,2016,1,0,19500,67187.0,8,2437.5,3
'Royal Enfield Electra 5 S',85000,2008,1,0,20000,72752.5,16,1250.0,13
'Hero Passion PRO TR',45000,2014,1,0,36000,54586.0,10,3600.0,6
'Hero Karizma [2003-2014]',50000,2013,1,0,38000,85766.0,11,3454.5454545454545,6
'Royal Enfield Thunderbird 350',60000,2006,1,0,40000,72752.5,18,2222.222222222222,13
'Hero Honda Splendor Plus',28000,2008,1,0,70889,72752.5,16,4430.5625,6
'Bajaj Pulsar 180',42000,2014,1,1,19600,85011.0,10,1960.0,3
'Suzuki Access 125 [2007-2016]',16000,2011,1,0,40000,58314.0,13,3076.923076923077,14
